onset,duration,trial_type,LST_id,LST_id_orig,response_time,motor_onset,motor_duration,confidence_onset,confidence_duration,accuracy,motor_key,subject
470.9101522642559,5,Quaternary,77,26,0.6806472377138562,476.9881325601127,2,479.0084834393638,2,0.0,2,26
491.8823950992119,5,Ternary,63,21,,497.9269061398991,2,499.9473248456379,2,0.0,999,26
506.24229050710346,5,Quaternary,73,25,1.324261208941607,512.1532236969142,2,514.1735305806069,2,0.0,4,26
520.3683663818483,5,Binary,33,11,0.9334820182557452,526.3126529718538,2,528.3330628784788,2,1.0,2,26
534.9619555689096,5,Null,141,47,0.6618398693390191,541.0900028113429,2,543.1104955762748,2,0.0,1,26
549.3386114517743,5,Quaternary,83,28,,555.1493506211664,2,557.1697465958678,2,0.0,999,26
563.4314336495918,5,Ternary,46,16,0.7788684239276336,569.1752860034212,2,571.1957831679138,2,1.0,1,26
577.9415075327961,5,Binary,14,5,1.4037853823028854,584.203142525108,2,586.2234992704289,2,1.0,2,26
592.1344397928369,5,Null,143,48,1.053225465482683,598.4294190195978,2,600.4498234267776,2,1.0,2,26
614.1085883687738,5,Ternary,58,20,,620.0694521189253,2,622.089862758814,2,0.0,999,26
628.9359552932037,5,Null,134,45,0.8127820342415362,634.6965307257888,2,636.71687573897,2,1.0,1,26
643.5630045696998,5,Binary,19,7,1.9480592136023915,649.5740030929119,2,651.594493291439,2,1.0,2,26
658.0732064066578,5,Quaternary,90,30,0.8782939885641099,664.2344955938715,2,666.2549000010513,2,1.0,1,26
672.750358559435,5,Binary,35,12,0.6123708957384224,678.561097728827,2,680.5813928803727,2,1.0,4,26
687.0100940434677,5,Null,125,42,0.6877737850809353,692.7873760564653,2,694.8077364680903,2,0.0,4,26
701.5201558278968,5,Ternary,39,13,1.478372520643461,707.631457260537,2,709.6518638675007,2,1.0,4,26
716.2975544291294,5,Quaternary,94,32,1.7493635352802812,722.1082492363385,2,724.1286400782228,2,0.0,2,26
4.78554673880717,5,Binary,27,9,0.7439093019711436,10.56295633771515,2,12.683574961323757,2,1.0,3,27
19.446183671956533,5,Quaternary,94,32,1.0570171988656512,25.39053533842525,2,27.41093687988177,2,0.0,1,27
33.80613232896576,5,Ternary,50,17,0.5468866379451356,39.75038463847159,2,41.77091340084735,2,0.0,4,27
47.9824077186131,5,Null,130,44,0.7369066523315269,53.79307513711683,2,55.813480344892014,2,1.0,4,27
61.80803294340876,5,Ternary,43,15,,67.90266183780477,2,69.92298015405686,2,0.0,999,27
76.33496106432722,5,Binary,6,2,,82.34609197757527,2,84.36640846067894,2,0.0,999,27
